,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.122,0.052,0.072,,,0.251,,
ece,CLUTRR,0.224,0.341,0.282,,,0.537,,
ece,GSM8K,0.156,0.039,0.134,,,0.484,,
ece,DATE,0.13,0.125,0.082,,,0.356,,
ece,MULTIARITH,0.35,0.135,0.274,,,0.054,,
ece,SAYCAN,0.301,0.121,0.247,,,0.152,,
ece,SPORT,0.055,0.061,0.052,,,0.08,,
ece,STRATEGYQA,0.282,0.113,0.16,,,0.289,,
ece,SVAMP,0.197,0.057,0.164,,,0.315,,
ece,average,0.202,0.116,0.163,,,0.28,,
brier,ASDIV,0.139,0.11,0.12,,,0.268,,
brier,CLUTRR,0.29,0.348,0.322,,,0.534,,
brier,GSM8K,0.213,0.183,0.208,,,0.474,,
brier,DATE,0.18,0.172,0.165,,,0.357,,
brier,MULTIARITH,0.234,0.106,0.184,,,0.108,,
brier,SAYCAN,0.244,0.162,0.232,,,0.161,,
brier,SPORT,0.072,0.07,0.067,,,0.089,,
brier,STRATEGYQA,0.304,0.207,0.228,,,0.31,,
brier,SVAMP,0.234,0.191,0.224,,,0.332,,
brier,average,0.212,0.172,0.194,,,0.293,,
