Metric,Dataset,standard,COT,LtM,noNL,NL+SL
ece,ASDIV,0.082,0.072,0.083,0.119,0.096
ece,CLUTRR,0.381,0.282,0.341,0.186,0.148
ece,GSM8K,0.111,0.134,0.102,0.136,0.128
ece,DATE,0.258,0.082,0.073,0.113,0.053
ece,MULTIARITH,0.218,0.274,0.196,0.264,0.308
ece,SAYCAN,0.197,0.247,0.264,0.195,0.183
ece,SPORT,0.201,0.052,0.088,0.128,0.118
ece,STRATEGYQA,0.221,0.16,0.187,0.244,0.249
ece,SVAMP,0.104,0.164,0.093,0.169,0.158
ece,average,0.197,0.163,0.159,0.173,0.16
brier,ASDIV,0.108,0.12,0.139,0.162,0.153
brier,CLUTRR,0.404,0.322,0.376,0.244,0.252
brier,GSM8K,0.124,0.208,0.173,0.195,0.205
brier,DATE,0.28,0.165,0.17,0.176,0.134
brier,MULTIARITH,0.2,0.184,0.267,0.233,0.226
brier,SAYCAN,0.208,0.232,0.227,0.216,0.215
brier,SPORT,0.267,0.067,0.113,0.165,0.143
brier,STRATEGYQA,0.299,0.228,0.243,0.333,0.324
brier,SVAMP,0.158,0.224,0.174,0.229,0.214
brier,average,0.228,0.194,0.209,0.217,0.207
