Metric,Dataset,standard,COT,LtM,noNL,NL+SL
ece,ASDIV,0.043,0.122,0.037,0.169,0.157
ece,CLUTRR,0.308,0.224,0.29,0.194,0.177
ece,GSM8K,0.091,0.156,0.03,0.153,0.142
ece,DATE,0.159,0.13,0.085,0.082,0.086
ece,MULTIARITH,0.188,0.35,0.103,0.307,0.36
ece,SAYCAN,0.141,0.301,0.311,0.145,0.129
ece,SPORT,0.285,0.055,0.107,0.162,0.122
ece,STRATEGYQA,0.362,0.282,0.387,0.367,0.435
ece,SVAMP,0.052,0.197,0.13,0.203,0.191
ece,average,0.181,0.202,0.164,0.198,0.2
brier,ASDIV,0.1,0.139,0.13,0.18,0.173
brier,CLUTRR,0.357,0.29,0.339,0.244,0.258
brier,GSM8K,0.107,0.213,0.157,0.204,0.206
brier,DATE,0.236,0.18,0.179,0.165,0.144
brier,MULTIARITH,0.159,0.234,0.235,0.265,0.265
brier,SAYCAN,0.179,0.244,0.253,0.185,0.184
brier,SPORT,0.316,0.072,0.13,0.188,0.146
brier,STRATEGYQA,0.396,0.304,0.364,0.407,0.442
brier,SVAMP,0.148,0.234,0.184,0.236,0.222
brier,average,0.222,0.212,0.219,0.23,0.227
