Metric,Dataset,standard,COT,LtM,noNL,NL+SL
ece,ASDIV,0.125,0.014,0.091,0.019,0.022
ece,CLUTRR,0.395,0.359,0.349,0.377,0.184
ece,GSM8K,0.283,0.052,0.042,0.058,0.064
ece,DATE,0.259,0.048,0.127,0.129,0.124
ece,MULTIARITH,0.346,0.044,0.038,0.076,0.061
ece,SAYCAN,0.085,0.156,0.105,0.164,0.27
ece,SPORT,0.13,0.008,0.008,0.011,0.004
ece,STRATEGYQA,0.109,0.075,0.047,0.132,0.014
ece,SVAMP,0.138,0.044,0.043,0.041,0.062
ece,average,0.208,0.089,0.094,0.112,0.089
brier,ASDIV,0.119,0.077,0.113,0.093,0.091
brier,CLUTRR,0.386,0.355,0.354,0.365,0.274
brier,GSM8K,0.215,0.145,0.194,0.144,0.14
brier,DATE,0.261,0.103,0.151,0.159,0.154
brier,MULTIARITH,0.307,0.018,0.147,0.041,0.027
brier,SAYCAN,0.089,0.107,0.147,0.191,0.248
brier,SPORT,0.169,0.009,0.008,0.011,0.006
brier,STRATEGYQA,0.202,0.153,0.143,0.267,0.194
brier,SVAMP,0.142,0.102,0.094,0.114,0.109
brier,average,0.21,0.119,0.15,0.154,0.138
