,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.04,0.091,0.062,,,0.235,,
ece,CLUTRR,0.214,0.349,0.28,,,0.49,,
ece,GSM8K,0.151,0.042,0.14,,,0.501,,
ece,DATE,0.131,0.127,0.145,,,0.215,,
ece,MULTIARITH,0.175,0.038,0.131,,,0.245,,
ece,SAYCAN,0.239,0.105,0.194,,,0.215,,
ece,SPORT,0.019,0.008,0.01,,,0.001,,
ece,STRATEGYQA,0.312,0.047,0.137,,,0.17,,
ece,SVAMP,0.109,0.043,0.078,,,0.161,,
ece,average,0.154,0.094,0.131,,,0.248,,
brier,ASDIV,0.102,0.113,0.105,,,0.241,,
brier,CLUTRR,0.277,0.354,0.314,,,0.489,,
brier,GSM8K,0.22,0.194,0.215,,,0.497,,
brier,DATE,0.16,0.151,0.167,,,0.218,,
brier,MULTIARITH,0.194,0.147,0.173,,,0.256,,
brier,SAYCAN,0.235,0.147,0.203,,,0.219,,
brier,SPORT,0.015,0.008,0.01,,,0.009,,
brier,STRATEGYQA,0.276,0.143,0.182,,,0.191,,
brier,SVAMP,0.119,0.094,0.107,,,0.169,,
brier,average,0.178,0.15,0.164,,,0.254,,
