,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.113,0.014,0.07,,,0.101,,
ece,CLUTRR,0.204,0.359,0.26,,,0.501,,
ece,GSM8K,0.241,0.052,0.17,,,0.182,,
ece,DATE,0.124,0.048,0.065,,,0.18,,
ece,MULTIARITH,0.157,0.044,0.084,,,0.039,,
ece,SAYCAN,0.336,0.156,0.279,,,0.062,,
ece,SPORT,0.026,0.008,0.014,,,0.003,,
ece,STRATEGYQA,0.251,0.075,0.116,,,0.208,,
ece,SVAMP,0.188,0.044,0.122,,,0.101,,
ece,average,0.182,0.089,0.131,,,0.153,,
brier,ASDIV,0.106,0.077,0.089,,,0.139,,
brier,CLUTRR,0.278,0.355,0.307,,,0.497,,
brier,GSM8K,0.217,0.145,0.187,,,0.215,,
brier,DATE,0.13,0.103,0.114,,,0.185,,
brier,MULTIARITH,0.07,0.018,0.033,,,0.019,,
brier,SAYCAN,0.246,0.107,0.227,,,0.075,,
brier,SPORT,0.017,0.009,0.011,,,0.009,,
brier,STRATEGYQA,0.243,0.153,0.173,,,0.238,,
brier,SVAMP,0.156,0.102,0.133,,,0.142,,
brier,average,0.163,0.119,0.142,,,0.169,,
