Metric,Dataset,standard,COT,LtM,noNL,NL+SL
ece,ASDIV,0.034,0.106,0.03,0.179,0.162
ece,CLUTRR,0.332,0.131,0.268,0.196,0.142
ece,GSM8K,0.109,0.058,0.108,0.072,0.064
ece,DATE,0.218,0.086,0.086,0.087,0.079
ece,MULTIARITH,0.153,0.29,0.2,0.262,0.261
ece,SAYCAN,0.158,0.361,0.257,0.171,0.331
ece,SPORT,0.469,0.147,0.161,0.261,0.158
ece,STRATEGYQA,0.346,0.324,0.408,0.402,0.326
ece,SVAMP,0.049,0.156,0.068,0.223,0.171
ece,average,0.208,0.184,0.176,0.206,0.188
brier,ASDIV,0.113,0.154,0.149,0.19,0.212
brier,CLUTRR,0.371,0.255,0.335,0.273,0.218
brier,GSM8K,0.089,0.166,0.109,0.161,0.161
brier,DATE,0.255,0.239,0.186,0.187,0.213
brier,MULTIARITH,0.13,0.274,0.195,0.274,0.289
brier,SAYCAN,0.187,0.314,0.255,0.262,0.318
brier,SPORT,0.452,0.18,0.201,0.282,0.185
brier,STRATEGYQA,0.389,0.353,0.417,0.423,0.367
brier,SVAMP,0.151,0.235,0.191,0.243,0.235
brier,average,0.237,0.241,0.226,0.255,0.244
