Metric,Dataset,standard,COT,LtM,noNL,NL+SL
ece,ASDIV,0.069,0.061,0.075,0.124,0.141
ece,CLUTRR,0.438,0.236,0.356,0.182,0.125
ece,GSM8K,0.109,0.087,0.13,0.072,0.073
ece,DATE,0.289,0.173,0.124,0.131,0.144
ece,MULTIARITH,0.178,0.245,0.252,0.254,0.26
ece,SAYCAN,0.156,0.358,0.192,0.234,0.354
ece,SPORT,0.27,0.141,0.147,0.317,0.149
ece,STRATEGYQA,0.22,0.18,0.231,0.26,0.179
ece,SVAMP,0.084,0.157,0.108,0.19,0.158
ece,average,0.201,0.182,0.179,0.196,0.176
brier,ASDIV,0.119,0.141,0.154,0.171,0.203
brier,CLUTRR,0.443,0.297,0.385,0.269,0.221
brier,GSM8K,0.107,0.173,0.13,0.164,0.166
brier,DATE,0.298,0.257,0.197,0.202,0.219
brier,MULTIARITH,0.159,0.254,0.241,0.26,0.293
brier,SAYCAN,0.171,0.325,0.234,0.275,0.342
brier,SPORT,0.318,0.166,0.182,0.317,0.175
brier,STRATEGYQA,0.309,0.269,0.302,0.336,0.29
brier,SVAMP,0.159,0.235,0.198,0.234,0.23
brier,average,0.231,0.235,0.225,0.248,0.238
