,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.162,0.037,0.141,,,0.507,,
ece,CLUTRR,0.142,0.191,0.125,,,0.68,,
ece,GSM8K,0.064,0.098,0.073,,,0.735,,
ece,DATE,0.079,0.208,0.144,,,0.434,,
ece,MULTIARITH,0.261,0.101,0.26,,,0.46,,
ece,SAYCAN,0.331,0.306,0.354,,,0.233,,
ece,SPORT,0.158,0.154,0.149,,,0.21,,
ece,STRATEGYQA,0.326,0.197,0.179,,,0.434,,
ece,SVAMP,0.171,0.04,0.158,,,0.517,,
ece,average,0.188,0.148,0.176,,,0.468,,
brier,ASDIV,0.212,0.179,0.203,,,0.503,,
brier,CLUTRR,0.218,0.239,0.221,,,0.668,,
brier,GSM8K,0.161,0.168,0.166,,,0.716,,
brier,DATE,0.213,0.246,0.219,,,0.434,,
brier,MULTIARITH,0.289,0.228,0.293,,,0.46,,
brier,SAYCAN,0.318,0.313,0.342,,,0.248,,
brier,SPORT,0.185,0.175,0.175,,,0.211,,
brier,STRATEGYQA,0.367,0.29,0.29,,,0.437,,
brier,SVAMP,0.235,0.202,0.23,,,0.515,,
brier,average,0.244,0.227,0.238,,,0.466,,
