,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.03,0.165,0.075,,,0.453,,
ece,CLUTRR,0.268,0.448,0.356,,,0.623,,
ece,GSM8K,0.108,0.268,0.13,,,0.867,,
ece,DATE,0.086,0.248,0.124,,,0.579,,
ece,MULTIARITH,0.2,0.39,0.252,,,0.839,,
ece,SAYCAN,0.257,0.094,0.192,,,0.282,,
ece,SPORT,0.161,0.143,0.147,,,0.217,,
ece,STRATEGYQA,0.408,0.089,0.231,,,0.323,,
ece,SVAMP,0.068,0.146,0.108,,,0.479,,
ece,average,0.176,0.221,0.179,,,0.518,,
brier,ASDIV,0.149,0.176,0.154,,,0.451,,
brier,CLUTRR,0.335,0.445,0.385,,,0.617,,
brier,GSM8K,0.109,0.182,0.13,,,0.839,,
brier,DATE,0.186,0.246,0.197,,,0.573,,
brier,MULTIARITH,0.195,0.315,0.241,,,0.82,,
brier,SAYCAN,0.255,0.183,0.234,,,0.286,,
brier,SPORT,0.201,0.179,0.182,,,0.219,,
brier,STRATEGYQA,0.417,0.236,0.302,,,0.337,,
brier,SVAMP,0.191,0.211,0.198,,,0.477,,
brier,average,0.226,0.241,0.225,,,0.513,,
