Metric,Dataset,standard,COT,LtM,noNL,NL+SL
ece,ASDIV,0.137,0.067,0.165,0.035,0.037
ece,CLUTRR,0.536,0.327,0.448,0.294,0.191
ece,GSM8K,0.242,0.088,0.268,0.088,0.098
ece,DATE,0.402,0.219,0.248,0.159,0.208
ece,MULTIARITH,0.305,0.084,0.39,0.078,0.101
ece,SAYCAN,0.077,0.2,0.094,0.143,0.306
ece,SPORT,0.083,0.146,0.143,0.35,0.154
ece,STRATEGYQA,0.163,0.131,0.089,0.149,0.197
ece,SVAMP,0.128,0.048,0.146,0.047,0.04
ece,average,0.23,0.146,0.221,0.149,0.148
brier,ASDIV,0.134,0.138,0.176,0.148,0.179
brier,CLUTRR,0.514,0.345,0.445,0.309,0.239
brier,GSM8K,0.148,0.17,0.182,0.163,0.168
brier,DATE,0.356,0.273,0.246,0.212,0.246
brier,MULTIARITH,0.214,0.193,0.315,0.204,0.228
brier,SAYCAN,0.147,0.191,0.183,0.235,0.313
brier,SPORT,0.238,0.169,0.179,0.346,0.175
brier,STRATEGYQA,0.278,0.24,0.236,0.282,0.29
brier,SVAMP,0.163,0.21,0.211,0.191,0.202
brier,average,0.244,0.214,0.241,0.232,0.227
